Data;Corrispettivo;Aliquota;Imponibile;Imposta
02/01/2026;1.220,00;22;1.000,00;220,00
03/01/2026;915,00;22;750,00;165,00
07/01/2026;1.098,00;22;900,00;198,00
08/01/2026;732,00;22;600,00;132,00
09/01/2026;854,00;22;700,00;154,00
10/01/2026;1.342,00;22;1.100,00;242,00
13/01/2026;976,00;22;800,00;176,00
14/01/2026;610,00;22;500,00;110,00
15/01/2026;1.464,00;22;1.200,00;264,00
16/01/2026;793,00;22;650,00;143,00
17/01/2026;1.037,00;22;850,00;187,00
20/01/2026;1.159,00;22;950,00;209,00
21/01/2026;671,00;22;550,00;121,00
22/01/2026;1.281,00;22;1.050,00;231,00
23/01/2026;915,00;22;750,00;165,00
24/01/2026;1.098,00;22;900,00;198,00
27/01/2026;854,00;22;700,00;154,00
28/01/2026;1.220,00;22;1.000,00;220,00
29/01/2026;732,00;22;600,00;132,00
30/01/2026;1.037,00;22;850,00;187,00
31/01/2026;1.159,00;22;950,00;209,00
Totale;20.167,00;;16.350,00;3.817,00
